alpha_gate,gate,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,RHOTA,HOTA(0),LocA(0),HOTALocA(0),MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,sMOTA,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,"GT_IDs
"
0.8,0.1,69.204,67.333,71.587,71.727,84.514,76.745,84.161,87.017,71.597,80.674,84.553,68.212,78.562,85.152,78.809,81.839,96.43,56.932,28.614,14.454,44103,9787,1633,133,193,97,49,267,66.41,80.947,74.823,88.162,40322,13568,5414,45736,53890,401,"339
"
0.8,0.0,69.178,67.265,71.604,71.653,84.513,76.77,84.145,87.019,71.569,80.642,84.553,68.185,78.473,85.154,78.72,81.752,96.424,56.637,28.024,15.339,44056,9834,1634,133,192,95,52,266,66.336,80.922,74.765,88.183,40291,13599,5399,45690,53890,398,"339
"
0.8,0.3,69.21,67.415,71.514,71.967,84.278,77.072,83.786,86.971,71.68,80.852,84.462,68.289,78.718,85.093,78.953,82.173,96.23,57.227,28.614,14.159,44283,9607,1735,127,194,97,48,261,66.468,81.211,75.279,88.157,40568,13322,5450,46018,53890,389,"339
"
1.0,0.2,69.332,67.481,71.697,71.92,84.452,76.866,84.219,86.981,71.748,80.9,84.51,68.369,78.812,85.103,79.048,82.104,96.411,57.227,28.319,14.454,44246,9644,1647,127,194,96,49,256,66.581,81.284,75.253,88.366,40554,13336,5339,45893,53890,397,"339
"
0.6,0.1,69.319,67.302,71.854,71.693,84.513,76.778,84.479,87.017,71.714,80.812,84.552,68.328,78.517,85.153,78.77,81.8,96.428,56.932,28.614,14.454,44082,9808,1633,136,193,97,49,270,66.373,81.004,74.86,88.247,40342,13548,5373,45715,53890,404,"339
"
0.2,0.2,69.261,67.353,71.68,71.793,84.445,76.64,84.735,87.002,71.677,80.854,84.516,68.334,78.644,85.193,78.916,81.967,96.412,57.227,28.319,14.454,44172,9718,1644,147,194,96,49,274,66.507,81.271,75.183,88.432,40516,13374,5300,45816,53890,406,"339
"
0.7,0.5,67.784,66.772,69.297,71.836,83.441,76.641,80.469,86.883,70.487,79.278,84.104,66.676,77.664,85.116,78.046,82.069,95.327,55.752,29.794,14.454,44227,9663,2168,206,189,101,49,324,65.448,79.184,73.678,85.58,39705,14185,6690,46395,53890,346,"339
"
1.0,0.1,69.204,67.333,71.587,71.727,84.514,76.745,84.161,87.017,71.597,80.674,84.553,68.212,78.562,85.152,78.809,81.839,96.43,56.932,28.614,14.454,44103,9787,1633,133,193,97,49,267,66.41,80.947,74.823,88.162,40322,13568,5414,45736,53890,401,"339
"
0.5,0.3,69.443,67.186,72.226,71.684,84.337,77.433,84.668,87.002,71.898,81.092,84.49,68.515,78.41,85.147,78.681,81.839,96.284,56.637,28.614,14.749,44103,9787,1702,146,192,97,50,279,66.254,81.43,75.322,88.617,40591,13299,5214,45805,53890,408,"339
"
0.0,0.9,61.582,64.624,59.241,71.357,80.681,74.828,66.069,86.686,64.913,72.187,83.223,60.076,73.5,85.131,74.604,81.523,92.176,53.982,33.333,12.684,43933,9957,3729,595,183,113,43,625,61.378,69.048,65.058,73.56,35060,18830,12602,47662,53890,187,"339
"
